"Tipo","Clase","Nombre","Autor","Año","Colección","Estado","Presta","Comunidad","ID","Tel"
"Texto guia","C. naturales","Analisis quimico cualitatativo","Luis J. Curtman","1965","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","andromedad","yaneth piedrahita","2006","Infantil","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Angulos","Corporativo","1982","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","ani croche","bertrand gauthier","1994","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","agropecuaria","Animales criollos, conocimeinto tradicional y soberania alimentaria","Grupo semillas","2003","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","Animarara dachi druabebena/ la diversidad de nuestro territorio","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","Animarara dachi druabebena/ la diversidad de nuestro territorio","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","Animarara dachi druabebena/ la diversidad de nuestro territorio","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","Animarara dachi druabebena/ la diversidad de nuestro territorio","Corporativo",NA,"general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","antojo  de oso","luis carlos neves",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Antoligia pedagogica de quintiliano","S. Hernandez Ruiz","1967","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","antologia de lecturas amenas","Darío Jaramillo Agudelo","1997","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Antologia del castellano antioqueño","varios",NA,"general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","antologia del taller de escritores","Gloria Ines Palomino londoño","2002","general","Disponible","Name","Comunity","Number","Number"
"libro","Filosofia","antologia del trabajo y el esfuerzo humano","hospital pablo tobon uribe",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Antologia pedagogica de Aristoteles","Santiago Hernandez Ruiz","1967","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Antologia pedagogica de San Agustin","Domingo Tirado Banedi","1968","general","Disponible","Name","Comunity","Number","Number"
"libro","C. sociales","antologis de poesia de los siglos de oro","francisco de terrazas",NA,"general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Antropologia de la muerte","Orlando Mejia Rivera","1987","general","Disponible","Name","Comunity","Number","Number"
NA,NA,"Anuario del servicio nacional de pruebas","ICFES","1979","general","Disponible","Name","Comunity","Number","Number"
NA,NA,"Anuario del servicio nacional de pruebas","ICFES","1979","general","Disponible","Name","Comunity","Number","Number"
NA,NA,"Anuario del servicio nacional de pruebas","ICFES","1979","general","Disponible","Name","Comunity","Number","Number"
NA,NA,"Anuario del servicio nacional de pruebas","ICFES","1979","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aprendamos de matematicas","Luis Hernando Alfonso C","1979","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","idiomas","Aprendamos ingles/ libro C","Corporativo","1971","general","Disponible","Name","Comunity","Number","Number"
"libro","castellano","aprendamos ortografia","gabriel redrigues","1978","general","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","aprendiendo con el libro de la selva","Corporativo","2003","Infantil","Disponible","Name","Comunity","Number","Number"
"Libro","castellano","aprendiendo con el libro de la selva","Corporativo","2003","Infantil","Disponible","Name","Comunity","Number","Number"
"libro","C. sociales","Aproximacion a Alfonso Lopez","Anibal noguera mendoza","1986","general","Disponible","Name","Comunity","Number","Number"
"libro","C. sociales","Aproximacion a Alfonso Lopez","Anibal noguera mendoza","1986","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","castellano","Apuntaciones sobre el habla Antioqueña en Carrasquilla","Nestor Villegas Duque","1986","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","agropecuaria","Arboles y bosques/ libro 29","Fernando Barrera E","1978","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","Filosofia","Archivo Homiletico","J.Thiriet- P. pezzali","1950","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Economia","Aritmetica comercial","Lourdes Torres T","1979","general","Disponible","Name","Comunity","Number","Number"
"literatura universal","Matematicas","Aritmetica curso superior","Alfonso Agustin","1958","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica razonada segunda parte y musica","Rafael E. Carmona","1963","general","Disponible","Name","Comunity","Number","Number"
"Texto guia","Matematicas","Aritmetica y geometria","Samuel londoño L","1963","general","Disponible","Name","Comunity","Number","Number"
